Rang	Titre	Famille	Total des aides en €	Dont postale	Dont aides aux tiers	Dont aides directes	Diffusion / an 2012	Aides totales par exemplaire en €	Aides postales par exemplaire en €	Aides aux tiers par exemplaire en €	Aides directes par exemplaire en €
1	MONDE	PQN	18685441	5139613	10285418	3260410	96743864	0,1931	0,0531	0,1063	0,0337
2	FIGARO	PQN	18263664	8526526	6025728	3711410	103104545	0,1771	0,0827	0,0584	0,036
3	OUEST FRANCE -  DIMANCHE OUEST FRANCE	PQR	11901309	2979703	883567	8038039	257969364	0,0461	0,0116	0,0034	0,0312
4	CROIX	PQN	10722591	5235351	230679	5256561	31890972	0,3362	0,1642	0,0072	0,1648
5	TELERAMA	GRAND PUBLIC	10366035	9983944		382091	31070849	0,3336	0,3213	0	0,0123
6	LIBERATION	PQN	10071968	854693	2658743	6558532	37808813	0,2664	0,0226	0,0703	0,1735
7	AUJOURD'HUI EN FRANCE 	PQN	9332798	397303	8865290	70205	63231082	0,1476	0,0063	0,1402	0,0011
8	NOUVEL OBSERVATEUR	NEWS	9320731	8728889	196880	394962	26863323	0,347	0,3249	0,0073	0,0147
9	EXPRESS	NEWS	7278722	6885703		393019	26621421	0,2734	0,2587	0	0,0148
10	TELE 7 JOURS	GRAND PUBLIC	6925596	6925596		0	70590329	0,0981	0,0981	0	0
11	HUMANITE	PQN	6329432	2443024	315729	3570679	11779384	0,5373	0,2074	0,0268	0,3031
12	PARIS MATCH	AUTRES IPG NAT	5442567	4354633	10441	1077493	34887498	0,156	0,1248	0,0003	0,0309
13	TELE STAR	GRAND PUBLIC	4947014	4947014		0	57955863	0,0854	0,0854	0	0
14	PROGRES	PQR	4917806	1841084	1944024	1132698	78458808	0,0627	0,0235	0,0248	0,0144
15	NOUVELLE REPUBLIQUE DU  CENTRE OUEST – NRCO DIMANCHE	PQR	4845159	3857336	78565	909258	59065689	0,082	0,0653	0,0013	0,0154
16	POINT	NEWS	4842438	4632177		210261	22073444	0,2194	0,2099	0	0,0095
17	DEPECHE DU MIDI - LA DEPECHE DIMANCHE	PQR	4641261	2605938	1275596	759727	64600789	0,0718	0,0403	0,0197	0,0118
18	SUD OUEST - SUD OUEST DIMANCHE PQR	PQR	4592920	3048808	271751	1272361	102099349	0,045	0,0299	0,0027	0,0125
